comment_id,creation_time,likes,author_id,author_nickname,content,reply_to_comment_id
72-2-b4d72785-1ba1-4577-8c7e-55e8aeaabea5,2024-02-10T21:23:50.051634Z,11,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,kiitti et olitte täällä seuraamassa UMK:ta!!!! niin ihanaa tämmösellä porukalla fiilistellä!! HYVÄÄ YÖTÄ <3333,None
72-2-8d00ce73-47f4-4629-9ab9-2af5fd10a36a,2024-02-10T21:23:43.654691Z,7,65953852-3430-4389-b135-bf84884df9ef,UMK Xia,Giitu dán jagi Ođđa musihka gilvvus! Miessemánus dasto Ruŧŧii ,None
72-2-4cad0d0f-57a7-444f-9229-f5bc28950b7a,2024-02-10T21:23:17.344744Z,8,c1b6a59e-22be-416b-bb9a-78473983c2b6,lolemma12,HYVÄÄ YÖTÄ KAIKILLE,None
72-2-e75ebe40-0921-4c40-bd02-68035859ad17,2024-02-10T21:23:10.241840Z,1,87787ea0-4490-4d7d-9320-5f6031c8e1af,Nezza,Wohoooooo,None
72-2-31b61b9e-4324-4d2b-8f80-0cffda0cacbf,2024-02-10T21:23:14.123719Z,2,8f2e246e-23fa-4874-8bfa-aa6035b320a9,mikkovaananen83,Oot paras Henkka<3,None
72-2-9f50cd23-9240-43d9-8008-455e4ea0569d,2024-02-10T21:23:12.292185Z,1,e8942f15-122c-404a-a172-ba9baf36c51b,lilianhaverinen1,kuka voitti liputa sanokaa ,None
72-2-cd440cd3-48d4-492a-a865-9841d4b51883,2024-02-10T21:23:10.598651Z,2,47a527e4-f2e6-44b1-83f3-722af6b3cfc2,Sima00,Henkka oot slay,None
72-2-bb8f8be2-1338-43bb-99ee-dde3023614e8,2024-02-10T21:22:54.350759Z,1,f6ff2fd0-0a62-49cc-b3d2-452b0999c611,Koskahan,Kiitos YLE 😘,None
72-2-ecb4c316-94c9-43bc-9f2e-381a64e57f40,2024-02-10T21:22:52.193549Z,3,5e143651-0c00-4b94-8ff4-cf6f21b6737f,Valtionvalvoha,ÄLKÄÄ NYT MITÄÄN SALALIITTOA VAALIKO,None
72-2-e71df2cb-9bfa-45ba-b986-f1103c10615b,2024-02-10T21:22:49.771300Z,5,f3eea7e1-d6b9-4477-8c4b-c39d4a23b773,verena_92,Onnee sitte vaa eipä tarttee kattoo Euroviisuja. Tylsä voittaja turhaa edes haaveilla finaalista. Onneksi on parempaakin odotettavaa maaliskuussa synttärit ja suosikkisarjani Young Royalsin viimeinen tuotantokausi jossa muuten esiintyy laulaja Omar Rudberg joka laulaa kuin enkeli. Paremmin kun kukaan muu..,None
72-2-e80560ef-27aa-4875-b321-a57279b9cf72,2024-02-10T21:23:05.790082Z,0,728e578b-54f0-496d-957e-6fa0faa7373d,toivonenlenny2007,oikea voitti,None
72-2-5cdcd0a3-fe43-4b55-a156-8c2245778c43,2024-02-10T21:22:47.017028Z,1,b77d195b-f10f-481e-8a5c-53aceef84561,ValtsuPaltsu17,UUSI ÄÄNESTYS!!! LASKUVIRHE TAPAHTUI IHAN SELVÄSTI KU KUUNTELEE PISTEITTEN MÄÄRIÄ JA KÄYTTÄÄ PERUSKOULUN MATIKKAA.,None
72-2-68e8c2af-73a6-41ae-9d12-ca9c4dc840ec,2024-02-10T21:23:02.089944Z,2,60aeed18-daee-43f3-9fe2-07a843d4ca89,Chachachafani,Nyt joudun sit pitämään farkkushortseja kiva,None
72-2-1eec9569-fc89-41f5-a0c4-e8cc2735c84b,2024-02-10T21:23:00.000332Z,0,e79bf010-ece0-45a3-808b-6a8729c9212d,__JOOPS__,käynnistä live uuestaa nii toimii ,72-2-7d1dbd85-9662-4b3a-b9a7-a229fb70348d
72-2-f9f88e6b-f261-4f51-bc34-d86d94984ddd,2024-02-10T21:22:58.394269Z,1,c1b6a59e-22be-416b-bb9a-78473983c2b6,lolemma12,NUKKUKAA KOKO SUOMI PARHAIMMAT UNET!!!,None
72-2-7f14ab7b-aef3-408e-a8f4-a62834b31798,2024-02-10T21:22:43.489817Z,0,7ac572d3-29ee-4ba2-a41e-cf26bbaee352,Bunnieh,On kyllä niin monta äänestäjää että lippujen voitto olis kuin lotossa voittaisi! Heh,None
72-2-f393b09d-1046-4298-a760-27c3405f0fd1,2024-02-10T21:22:58.293854Z,1,d0b5616e-cb9f-417a-8e97-107902356708,ilona_syvaniemi,Henkka voiks sanoo moi Ilona ja Linda🥺🥺🥺,None
72-2-64868635-26fa-4b47-a726-f0ffd848f9d5,2024-02-10T21:23:02.062807Z,28,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,ihan sikamagee ilta!! eiks nii???,None
72-2-8a8c9e32-fe8c-4e9e-b543-7543818577cc,2024-02-10T21:22:49.357610Z,0,04883e1a-6212-4646-81f5-594f429a8f77,tamitässäterve,nonni,None
72-2-a9042b39-6df8-4df2-baf8-d8939f78568f,2024-02-10T21:22:57.378995Z,0,d0ed5ccb-7712-43d3-8f59-200c618cbdf3,vanskubansku1, Voittiko joku liput?,None
72-2-9df77e63-44b6-4f16-9c1e-c90dc36351df,2024-02-10T21:22:29.793820Z,0,84724f4e-ac88-4a98-a731-57374a46f8e8,aavaannola03,Huono voittaja,None
72-2-67f8674c-ad04-438c-8ad4-455707622f86,2024-02-10T21:22:53.077855Z,2,955bba15-1113-430d-b89a-20b86ec0e4ac,R054,käärijää parempaa ei ole eikä tule.,None
72-2-acf3b6e6-3652-49fd-b5e2-d435a764571a,2024-02-10T21:22:49.151151Z,1,a4efa3bd-73bc-4ceb-bb20-526b9d55f248,Johhanes,Hyvää yötä ,None
72-2-6fbc3055-deda-4b78-8573-7afb5f9b7ae2,2024-02-10T21:22:39.080769Z,0,c4bdfb61-0466-494e-bab2-4cba0a315611,Nallittaja,Paras voitti. ONNEA WIN95 ja Henri. I love You💖💖,None
72-2-f66221a5-cf72-4603-b5d4-aa5852d93b54,2024-02-10T21:22:46.408500Z,2,42997919-a90b-48be-be0d-1c15d7c53025,miljaae,minne ilmotetaan voittajat??,None
72-2-9c911c43-702d-4167-bf19-89fa4ae9f139,2024-02-10T21:22:44.639097Z,5,f94332b9-e5d8-4c8f-814a-4ffae049f37e,Contula,Harmi kun appiäänestys jämähti ois saanut win95 miäs vielä enemmän ääniä,None
72-2-153f8a43-84ef-4490-8dd0-6bf9fc356483,2024-02-10T21:22:44.101823Z,2,0caebdbf-c1c9-4417-8c9f-ec8d234f6889,JReal,Jatkot melodiafestivals,None
72-2-c87580b3-2606-473e-85a6-b267c6415375,2024-02-10T21:22:40.333825Z,0,0506e4b1-c35e-431d-beed-44024a8c9df5,MaukkaMangusti,Yleisö äänesti väärin vai - lakkoon…,None
72-2-b3e67a93-255f-42d8-b0ed-54fdb81e6118,2024-02-10T21:22:40.115932Z,13,d3d1fd69-556d-4fb1-8633-cdfcc5972a91,tsaarix,Aika noloa YLE! Suurin osa ei päässyt kirjautumaan ,None
72-2-a5a2410b-9a1a-4b9c-b868-661375b11cb2,2024-02-10T21:22:29.767113Z,0,7fd5d380-e6ba-468f-bea1-e7c12a312dea,Potter,💚💙💚💜,None
72-2-74004005-4171-4147-833a-31702d1723fa,2024-02-10T21:22:41.098323Z,0,7a01f426-baeb-469e-ae76-a25fffb15c10,anonyymi356224,No rules! ,None
72-2-7d1dbd85-9662-4b3a-b9a7-a229fb70348d,2024-02-10T21:22:38.113265Z,1,e3991fb7-5942-46f1-809f-49e3114ec75d,Joonaskupila,hienosti toimii yle,None
72-2-02ebc2b1-5bf4-4e9d-81e4-8cee5425ead3,2024-02-10T21:22:37.533821Z,0,c0f2e52a-074b-423a-9d69-7a00c572bc6e,Niko 13,Nii ,72-2-95392380-5f7e-4cd0-a23e-8172bfcde162
72-2-7594f9f1-d999-45b2-83a6-845a54fa2f38,2024-02-10T21:22:40.595733Z,3,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,teki mulle <3,72-2-3a51c865-226b-491f-9766-08baac65dc76
72-2-dea1f8c9-48fc-4652-bdda-9d338ffcedfe,2024-02-10T21:22:31.729386Z,3,675a5155-734c-4985-819c-858aa96f256f,Sadeolen,Y M C A,None
72-2-6309e7d6-6d86-4181-a339-12622ae5c912,2024-02-10T21:22:28.213836Z,2,b433404c-e2cd-4155-b040-94a1ca4ee1d6,finlandelliot,Täs ei ollu mitää järkee ku äänestämine ei toiminu nii monella,None
72-2-3f13e995-f659-4e88-a8c8-9ac03c6cb08c,2024-02-10T21:22:26.827878Z,0,344b74ca-bc9a-4812-b801-2fa536868ab7,Sarahz,LIVE ESITYKSET OLI NII HYVIIIÄÄ,None
72-2-e925ad2b-739b-4045-961a-eff1d3ff2eeb,2024-02-10T21:22:16.117997Z,0,4d4df340-b670-42ef-a07c-4fe2ea150b91,joannagrohn2,Me ei tulla ees pääsemään finaalin että Ainakaan mä en tuu kattomaan koko euroviisut,None
72-2-ec4756e2-88fd-4a0f-a5e9-b871b8e4134d,2024-02-10T21:22:19.009956Z,0,07225670-8278-4e89-b96d-5b0c16bbfb25,juustonakki1000,HELLUREI HENKKA <3,None
72-2-a0218fd5-85cb-473e-9bd9-7fa1d0287cb5,2024-02-10T21:22:25.683595Z,3,49551791-93ff-4d31-b3bc-97875e39b2eb,V3rdict,lapset lapset nyt ihan rauhassa :D,None
72-2-cc4a6246-38de-4563-a581-7659ae69d6aa,2024-02-10T21:21:42.889147Z,5,d34aa670-980b-45b1-a644-a36c64396155,IleTku,Voittaja 🤮🤮🤮🤮,None
72-2-eeac9704-0c7d-4215-b530-30e011ed7449,2024-02-10T21:22:21.875166Z,0,d4cb5732-64af-4ca2-bb4a-d1e4fa3a3891,EKaramel,Kuka voitti liput?,None
72-2-95392380-5f7e-4cd0-a23e-8172bfcde162,2024-02-10T21:22:23.956458Z,6,5046f87a-cbee-40bf-bc82-9d6482cc35a3,Henkka Remes,EN TIIÄ :( niistä ilmotetaan varmasti kyllä!,72-2-4acb9781-1b5d-4327-b858-cf931497c4b8
